Stock,Title,Sentiment
AAPL,"The iPhone 16 is on shelves, but what is consumer demand indicating?","{'neg': 0.0, 'neu': 0.937, 'pos': 0.062, 'compound': 0.296}"
AAPL,"Tim Cook sells $50M worth of AAPL shares, but the timing is coincidental","{'neg': 0.075, 'neu': 0.745, 'pos': 0.18, 'compound': 0.5023}"
AAPL,AAPL earnings call on October 31 will include early iPhone 16 sales,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
AAPL,Apple has finally dropped iOS 18. Here's what's changed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
AAPL,Watch live: Apple's iPhone 16 event,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
AAPL,"Apple and Google have to pay billions in taxes and fines, Europe's top court rules","{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.3818}"
AAPL,Apple is getting deeper into the medical device business,"{'neg': 0.0, 'neu': 0.96, 'pos': 0.04, 'compound': 0.0772}"
AAPL,Huawei made a splash with its 'trifold' smartphone just hours after Apple's iPhone 16 launch,"{'neg': 0.0, 'neu': 0.957, 'pos': 0.043, 'compound': 0.128}"
AAPL,Apple iPhone 16 demand is so weak employees can already buy it on discount,"{'neg': 0.115, 'neu': 0.729, 'pos': 0.156, 'compound': 0.3839}"
AAPL,"Apple pre-orders slump because of Apple Intelligence delays, analyst says","{'neg': 0.123, 'neu': 0.797, 'pos': 0.08, 'compound': -0.1779}"
AAPL,Huawei's tri-fold smartphone has over 3 million preorders ahead of Apple's new iPhone release,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
AAPL,Resellers are hiking prices on Huawei's 'trifold' smartphone before it's even out,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
AAPL,Are Apple's new features enough to drive iPhone sales? Maybe not,"{'neg': 0.0, 'neu': 0.871, 'pos': 0.129, 'compound': 0.3506}"
AAPL,Apple's big week: iPhone 16 event highlights and commentary,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
AAPL,"Apple's iPhone 16 will be the most successful iPhone launch ever, analysts say","{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.8399}"
AAPL,Apple's iPhone 16 is in stores now — but it's missing a key selling point,"{'neg': 0.064, 'neu': 0.795, 'pos': 0.141, 'compound': 0.5267}"
AAPL,Apple is being accused of ‘illegally’ violating workers rights by the U.S. labor board,"{'neg': 0.226, 'neu': 0.704, 'pos': 0.07, 'compound': -0.7506}"
AAPL,Sam Altman and former Apple executives are making an AI device,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
AAPL,Oura just launched its latest smart ring. Apple and Samsung are coming for it,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.4939}"
AAPL,"Larry Ellison's massive net worth, Huawei’s new smartphone, and the WeWork founder's crypto bust: Business news roundup","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
AAPL,IPhone 16 Off To A Rocky Start. What It Means For Apple Stock.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
AAPL,The most notable stocks Warren Buffett has bought — and sold — in 2024,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.5719}"
AAPL,The S&P 500 is almost never this expensive. It’s a disaster waiting to happen.,"{'neg': 0.091, 'neu': 0.843, 'pos': 0.065, 'compound': -0.2748}"
AAPL,Wall Street Doesn’t Know If Tesla Is A Car Company,"{'neg': 0.084, 'neu': 0.861, 'pos': 0.055, 'compound': -0.0772}"
AAPL,Nvidia and 6 other firms that could get in on OpenAI's next big funding round,"{'neg': 0.06, 'neu': 0.874, 'pos': 0.066, 'compound': 0.0516}"
AAPL,"Market Clubhouse Morning Memo - September 26th, 2024 (Trade Strategy For SPY, QQQ, AAPL, MSFT, NVDA, GOOGL, META And TSLA)","{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.5707}"
